"Start Time","Duration","Run ID","Name","Source Type","Source Name","User","Status","batch_size","dropout_rate","epochs","learning_rate","n_hidden1","n_hidden2","n_hidden3","mae","mse","rmse","rmse_over_mean_price"
"2025-12-02 00:39:34","2.0min","35604426419649fe8d8478fe4b2fc40a","elu_dropout_alto","LOCAL","C:\Users\jo_ga\AppData\Roaming\Python\Python312\site-packages\ipykernel_launcher.py","jo_ga","FINISHED","32","0.4","120","0.0005","128","64","32","36.49181118234011","2988.200365698408","54.664434193526674","0.38137242979330216"
"2025-12-02 00:37:28","2.1min","3e3d799df47942f7908bb0bd539c430d","elu_dropout_bajo","LOCAL","C:\Users\jo_ga\AppData\Roaming\Python\Python312\site-packages\ipykernel_launcher.py","jo_ga","FINISHED","32","0.05","120","0.0005","128","64","32","30.71580007464804","2088.4742167661884","45.69982731659047","0.3188298651946227"
"2025-12-02 00:34:00","3.5min","3f6af665bd5b42c9a1106658fe3eb9a0","elu_lr_1e-4","LOCAL","C:\Users\jo_ga\AppData\Roaming\Python\Python312\site-packages\ipykernel_launcher.py","jo_ga","FINISHED","32","0.2","150","0.0001","64","32","16","37.45213905078915","3054.9557618356134","55.271654234658236","0.3856087671106462"
"2025-12-02 00:31:15","2.8min","ed47442e282c49a396b8b339387bb457","elu_lr_3e-4","LOCAL","C:\Users\jo_ga\AppData\Roaming\Python\Python312\site-packages\ipykernel_launcher.py","jo_ga","FINISHED","32","0.2","120","0.0003","64","32","16","34.9724867500934","2724.5473491007197","52.19719675519673","0.36415947678986066"
"2025-12-02 00:28:26","2.8min","45bed93c0ff84440a96273b9994b5b9e","elu_large_2","LOCAL","C:\Users\jo_ga\AppData\Roaming\Python\Python312\site-packages\ipykernel_launcher.py","jo_ga","FINISHED","32","0.3","140","0.0005","256","128","64","30.442002621278487","2096.48577647074","45.787397572593484","0.31944080870482633"
"2025-12-02 00:26:22","2.1min","e9e3ad8f945144f9bb5a339deeb38acc","elu_large_1","LOCAL","C:\Users\jo_ga\AppData\Roaming\Python\Python312\site-packages\ipykernel_launcher.py","jo_ga","FINISHED","32","0.3","120","0.001","128","64","32","32.409696627793835","2377.464435621878","48.75924974424727","0.3401742618249598"
"2025-12-02 00:24:25","1.9min","ea71a8d207f546a090501f8a65b6f4ba","elu_med_3","LOCAL","C:\Users\jo_ga\AppData\Roaming\Python\Python312\site-packages\ipykernel_launcher.py","jo_ga","FINISHED","32","0.2","120","0.0003","128","64","32","31.368562822553688","2173.670398704282","46.622638264090995","0.325267957136491"
"2025-12-02 00:22:22","2.0min","d40af2ad606d4b0489b9ffdd05574618","elu_med_2","LOCAL","C:\Users\jo_ga\AppData\Roaming\Python\Python312\site-packages\ipykernel_launcher.py","jo_ga","FINISHED","32","0.2","120","0.0005","64","32","16","32.91144459401031","2379.9285564476104","48.78451144008322","0.34035050282084295"
"2025-12-02 00:19:00","3.4min","549d8a02ebaf48b5a5b5763a3d72763f","elu_med_1","LOCAL","C:\Users\jo_ga\AppData\Roaming\Python\Python312\site-packages\ipykernel_launcher.py","jo_ga","FINISHED","32","0.2","100","0.001","64","32","16","35.10774366129687","2814.8962198095455","53.055595556072554","0.37014819031541724"
"2025-12-02 00:17:19","1.7min","f322d1aa1ff948039ed00fe5cc478385","elu_small_2","LOCAL","C:\Users\jo_ga\AppData\Roaming\Python\Python312\site-packages\ipykernel_launcher.py","jo_ga","FINISHED","32","0.1","100","0.0005","32","16","8","34.054015456441206","2516.8769686386327","50.168485811698886","0.3500059520477779"
"2025-12-02 00:15:34","1.8min","dc1817985a584e2abf8a2bb83dbc9c57","elu_small_1","LOCAL","C:\Users\jo_ga\AppData\Roaming\Python\Python312\site-packages\ipykernel_launcher.py","jo_ga","FINISHED","32","0.1","80","0.001","32","16","8","33.64199891985921","2513.7453882344303","50.1372654642675","0.34978813986450813"
