host_response_time,host_response_rate,host_acceptance_rate,host_is_superhost,host_has_profile_pic,host_identity_verified,latitude,longitude,accommodates,bathrooms,bedrooms,beds,price,minimum_nights,maximum_nights,availability_30,availability_365,number_of_reviews,availability_eoy,estimated_occupancy_l365d,estimated_revenue_l365d,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,instant_bookable,calculated_host_listings_count,reviews_per_month,n_amenities,n_verifications,property_type_clean,host_years,neighbourhood_cleansed_freq,room_type_Hotel room,room_type_Private room,room_type_Shared room,neighbourhood_group_cleansed_Eixample,neighbourhood_group_cleansed_Gràcia,neighbourhood_group_cleansed_Horta-Guinardó,neighbourhood_group_cleansed_Les Corts,neighbourhood_group_cleansed_Nou Barris,neighbourhood_group_cleansed_Sant Andreu,neighbourhood_group_cleansed_Sant Martí,neighbourhood_group_cleansed_Sants-Montjuïc,neighbourhood_group_cleansed_Sarrià-Sant Gervasi
0.0,96.0,91.0,0.0,1.0,1.0,41.40556,2.17262,8.0,2.0,3.0,6.0,210.0,1,1125,12,80,51,74,42,8820.0,4.34,4.4,4.56,4.64,4.62,4.82,4.32,1,26,0.34,22,2,Entire rental unit,15.860273972602739,0.05677485832045338,0,0,0,1,0,0,0,0,0,0,0,0
0.0,100.0,96.0,1.0,1.0,1.0,41.41243172529066,2.219750335269476,5.0,2.0,3.0,4.0,285.0,3,32,10,289,91,82,72,20520.0,4.82,4.94,4.9,4.94,4.99,4.66,4.68,0,1,0.52,54,2,Entire rental unit,15.726027397260275,0.007161257083977331,0,0,0,0,0,0,0,0,0,1,0,0
0.0,100.0,100.0,0.0,1.0,1.0,41.40566,2.17015,6.0,2.0,2.0,3.0,170.0,1,31,13,64,152,64,138,23460.0,4.46,4.43,4.37,4.88,4.89,4.89,4.47,0,2,0.88,40,3,Entire rental unit,15.498630136986302,0.016383307573415766,0,0,0,0,1,0,0,0,0,0,0,0
0.0,100.0,92.0,0.0,1.0,1.0,41.38062,2.17517,2.0,1.0,1.0,1.0,110.0,31,180,30,333,25,108,255,28050.0,4.36,4.45,4.55,4.68,4.68,4.73,4.23,0,3,0.14,32,3,Entire condo,15.846575342465753,0.06455435342606904,0,0,0,0,0,0,0,0,0,0,0,0
0.0,100.0,92.0,0.0,1.0,1.0,41.37978,2.17623,9.0,3.0,4.0,6.0,333.0,5,365,10,335,271,78,230,76590.0,4.57,4.61,4.66,4.69,4.72,4.65,4.46,0,3,1.49,40,3,Entire rental unit,15.846575342465753,0.06455435342606904,0,0,0,0,0,0,0,0,0,0,0,0
0.0,100.0,100.0,1.0,1.0,1.0,41.39631,2.16832,4.0,1.0,1.0,2.0,204.0,2,364,1,298,402,45,255,52020.0,4.53,4.6,4.56,4.85,4.85,4.9,4.51,0,5,2.32,35,3,Entire condo,15.356164383561644,0.12447192168985059,0,0,0,1,0,0,0,0,0,0,0,0
0.0,100.0,100.0,0.0,1.0,1.0,41.4057,2.17016,6.0,1.0,2.0,7.0,170.0,1,31,15,66,139,66,156,26520.0,4.62,4.75,4.39,4.92,4.96,4.89,4.57,0,2,0.81,34,3,Entire rental unit,15.498630136986302,0.016383307573415766,0,0,0,0,1,0,0,0,0,0,0,0
1.0,100.0,100.0,1.0,1.0,1.0,41.3806,2.17796,4.0,2.0,2.0,2.0,128.0,31,730,14,302,93,45,0,0.0,4.75,4.65,4.31,4.92,4.93,4.9,4.67,0,2,0.53,17,2,Other,14.887671232876713,0.06455435342606904,0,0,0,0,0,0,0,0,0,0,0,0
3.0,0.0,0.0,0.0,1.0,0.0,41.41841,2.13307,9.0,4.0,3.0,5.0,315.0,5,28,0,268,1,12,0,0.0,5.0,4.0,5.0,5.0,5.0,4.0,5.0,0,1,0.01,19,2,Entire rental unit,14.835616438356164,0.004842864502833591,0,0,0,0,1,0,0,0,0,0,0,0
0.0,100.0,100.0,0.0,1.0,1.0,41.39705,2.17469,2.0,2.0,1.0,1.0,199.0,2,91,2,208,84,43,6,1194.0,4.23,4.1,4.45,4.43,4.6,4.57,4.13,0,2,0.48,32,3,Entire rental unit,14.835616438356164,0.12447192168985059,0,0,0,1,0,0,0,0,0,0,0,0
